experiment 1;surface bulk 2%;sample 1;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;;combined;;;;experiment 1;surface bulk 2%;sample 1;
;;grader;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;;nucelous ;myotubes;;;;;grader;nucelous 
;;20;0.010908083;0.01113054;0.010629405;0.010792965;0.010420818;0.01116302;0.012458382;0.013326133;0.011669915;0.011998645;0.010050618;0.010372315;0.010707966;0.012214664;0.011815437;0.011961244;0.011825076;0.012154881;0.011153616;0.011770158;;0.011163932;0.011688457;;;;;20;0.011163932
;;22;0.01149416;0.011665862;0.010349088;0.010533839;0.010857789;0.01089511;0.013154741;0.012980265;0.01167749;0.012361878;0.009788196;0.010692655;0.010919092;0.012185663;0.011945647;0.012949836;0.013451988;0.012396255;0.011249564;0.012138414;;0.011488776;0.011879978;;;;;22;0.011488776
;;24;0.01100994;0.011520292;0.01154544;0.011143035;0.010440641;0.010940901;0.014273386;0.01270713;0.010433503;0.012350187;0.009453356;0.010698014;0.011087541;0.012095821;0.012691583;0.012364186;0.014183037;0.013095759;0.011132539;0.012430621;;0.011625097;0.011934595;;;;;24;0.011625097
;;26;0.010934874;0.01233386;0.01255563;0.01097914;0.01066298;0.010815433;0.013668324;0.012801891;0.011625718;0.012506403;0.010888851;0.011128411;0.010615245;0.012369932;0.013392429;0.012467707;0.012556668;0.012530326;0.011863732;0.013048887;;0.011876445;0.012098199;;;;;26;0.011876445
;;28;0.011165118;0.012255963;0.011935738;0.010521942;0.011986643;0.011308867;0.01325542;0.013172379;0.011716939;0.011724844;0.011468748;0.011241469;0.009604958;0.012128257;0.012812849;0.012851214;0.010927333;0.012423444;0.012597238;0.01311535;;0.011747098;0.012074373;;;;;28;0.011747098
;;30;0.01246914;0.012299119;0.010983424;0.010732795;0.011130657;0.011669217;0.013340348;0.013252751;0.011809916;0.012816158;0.010600251;0.011631667;0.010836224;0.011952257;0.011015247;0.013088479;0.01357275;0.01254875;0.012494451;0.012677537;;0.011825241;0.012266873;;;;;30;0.011825241
;;32;0.01307839;0.012090241;0.011358831;0.010776151;0.011882042;0.012018656;0.012938619;0.012576195;0.010780266;0.012563011;0.010505089;0.011378203;0.012447763;0.012367141;0.011814539;0.013557002;0.013874995;0.012643936;0.011487342;0.012619272;;0.012016788;0.012258981;;;;;32;0.012016788
;;34;0.011885531;0.012066687;0.011561773;0.010582899;0.012340175;0.012066484;0.011775087;0.011985936;0.011340442;0.01247541;0.009534691;0.011097416;0.011701018;0.012233284;0.012655259;0.013147447;0.01315799;0.012568271;0.012031164;0.012210821;;0.011798313;0.012043466;;;;;34;0.011798313
;;36;0.011478494;0.012462472;0.011608187;0.010672708;0.011481413;0.011824465;0.011166747;0.012439784;0.011432141;0.012010315;0.01019862;0.010566985;0.012296006;0.01232887;0.013522116;0.013899802;0.011821463;0.012594853;0.012212632;0.012097125;;0.011721782;0.012089738;;;;;36;0.011721782
;;38;0.013434733;0.012317088;0.012645751;0.010570796;0.011241737;0.011159476;0.01109865;0.012344613;0.010670044;0.011563006;0.010669053;0.010342114;0.013031222;0.012006156;0.011342289;0.01347312;0.010946869;0.012617653;0.012739832;0.01143035;;0.011782018;0.011782437;;;;;38;0.011782018
;;40;0.014033223;0.012195422;0.011824078;0.010455524;0.012836872;0.011248141;0.011654051;0.011740009;0.010294002;0.011672109;0.009546594;0.010087186;0.012610063;0.011679707;0.011195163;0.014247423;0.011579836;0.012495165;0.012359473;0.011730491;;0.011793336;0.011755118;;;;;40;0.011793336
;;42;0.013863742;0.011791523;0.010995194;0.011050862;0.012571191;0.011707605;0.01133007;0.011600328;0.009499364;0.010987185;0.009532535;0.009407225;0.011385803;0.01221636;0.01159891;0.013610562;0.01217757;0.012564017;0.011569461;0.011792448;;0.011452384;0.011672812;;;;;42;0.011452384
;;44;0.011859482;0.011650986;0.011732566;0.010883167;0.011757538;0.011772378;0.012933638;0.011680448;0.009128798;0.011267169;0.008829592;0.009766885;0.010654403;0.012838875;0.011907095;0.01265086;0.012875383;0.012441443;0.010609838;0.011637272;;0.011228833;0.011658948;;;;;44;0.011228833
;;46;0.010526037;0.011624263;0.011579333;0.010501817;0.011044758;0.011688778;0.011611809;0.01151073;0.01095304;0.010689485;0.009375988;0.009441418;0.010856848;0.012711622;0.011137698;0.012045428;0.014016612;0.012100873;0.010863357;0.011802168;;0.011196548;0.011411658;;;;;46;0.011196548
;;48;0.011956944;0.01185375;0.010894348;0.010524849;0.011322116;0.011495429;0.010777557;0.011453815;0.011813752;0.010895359;0.010772223;0.010091572;0.011258443;0.012586437;0.011010927;0.011939822;0.012430891;0.011462272;0.010236242;0.011726322;;0.011247344;0.011402963;;;;;48;0.011247344
;;50;0.012457147;0.011385995;0.011035618;0.010656141;0.011224561;0.011128423;0.011009285;0.011233256;0.012258097;0.011329811;0.009911655;0.010071979;0.012618102;0.012512629;0.010811747;0.012569144;0.010612396;0.01132439;0.011357497;0.012091367;;0.011329611;0.011430314;;;;;50;0.011329611
;;52;0.01156173;0.011383474;0.010193579;0.010207064;0.011111965;0.011051225;0.011340083;0.011866725;0.012705943;0.011643055;0.011201184;0.009927244;0.01154594;0.012927748;0.012245165;0.011760411;0.010650279;0.01145155;0.011971573;0.012549773;;0.011452744;0.011476827;;;;;52;0.011452744
;;54;0.010644477;0.011450564;0.010216503;0.010171412;0.010888617;0.011169228;0.01128606;0.011523067;0.011714298;0.011901506;0.013029124;0.010645923;0.011766963;0.012899756;0.011499016;0.011832751;0.012024094;0.011596767;0.011229368;0.01234206;;0.011429852;0.011553303;;;;;54;0.011429852
;;56;0.010219522;0.011169176;0.010588746;0.009952843;0.012058456;0.01168108;0.010597091;0.0111297;0.01148863;0.011390768;0.012325273;0.011021327;0.01069859;0.012427747;0.011599658;0.011528081;0.011374572;0.011500546;0.011691753;0.012188798;;0.011264229;0.011399007;;;;;56;0.011264229
;;58;0.010104015;0.010912401;0.010938318;0.010136791;0.012097296;0.011143883;0.010928431;0.010896853;0.012963593;0.011349353;0.010798656;0.0101682;0.010126962;0.01265509;0.011664616;0.011104911;0.012103067;0.011507575;0.010881579;0.012012591;;0.011260653;0.011188765;;;;;58;0.011260653
;;60;0.009497202;0.010670264;0.011392182;0.010267782;0.010765041;0.010799816;0.011558672;0.010401876;0.013072126;0.011200791;0.010263689;0.00992689;0.011028146;0.012630552;0.010879318;0.010933082;0.012001874;0.011373241;0.011316744;0.012278775;;0.011177499;0.011048307;;;;;60;0.011177499
;;62;0.009436574;0.010861171;0.011353284;0.010064293;0.010561755;0.010363395;0.010296242;0.01080251;0.01107921;0.011129215;0.009299111;0.009754466;0.011149949;0.012321655;0.009601191;0.010586169;0.011708026;0.010742714;0.010360656;0.012121349;;0.0104846;0.010874694;;;;;62;0.0104846
;;64;0.011549287;0.010890161;0.011238795;0.010044199;0.011756023;0.010495167;0.009908488;0.010396061;0.012687587;0.01139687;0.010278603;0.009790813;0.012077943;0.012230415;0.009814601;0.010991177;0.010315952;0.011088712;0.010059521;0.011706057;;0.01096868;0.010902963;;;;;64;0.01096868
;;66;0.012636132;0.010588313;0.011779116;0.010032793;0.011877579;0.010618099;0.010740992;0.010386915;0.012513317;0.011550531;0.011618491;0.009913634;0.013005856;0.01164792;0.009819029;0.010827539;0.009299988;0.010670839;0.010033554;0.01159439;;0.011332405;0.010783097;;;;;66;0.011332405
;;68;0.012150969;0.010332079;0.011789039;0.010194357;0.012366148;0.011340133;0.011324494;0.010472468;0.010925511;0.011369427;0.010685655;0.009927908;0.011573625;0.011898049;0.009323686;0.010492939;0.010365999;0.010850432;0.010313897;0.011542744;;0.011081902;0.010842054;;;;;68;0.011081902
;;70;0.011424733;0.010819852;0.010677215;0.010144772;0.011251748;0.010754224;0.010764657;0.010529684;0.010002575;0.011872502;0.01126834;0.010035621;0.010946148;0.011404795;0.010982648;0.0105419;0.012829349;0.011167773;0.011217329;0.011930454;;0.011136474;0.010920158;;;;;70;0.011136474
;;72;0.010997498;0.010414383;0.010191279;0.010274439;0.009642209;0.010449467;0.010649951;0.010223091;0.009045947;0.011823427;0.010990718;0.010432666;0.010577522;0.010649881;0.011239786;0.010546746;0.011243647;0.011195585;0.01041712;0.011876449;;0.010499568;0.010788613;;;;;72;0.010499568
;;74;0.009854141;0.010780931;0.011248958;0.009962141;0.010124086;0.010301706;0.010236956;0.010421635;0.010347024;0.011725277;0.010981619;0.010155625;0.010654958;0.011227989;0.011380846;0.010303648;0.011026061;0.010951965;0.010667077;0.011745472;;0.010652173;0.010757639;;;;;74;0.010652173
;;76;0.00969582;0.01064174;0.011046988;0.01002954;0.0106805;0.009999148;0.009953835;0.010192664;0.009407602;0.011655807;0.010256246;0.010061509;0.009241315;0.011100232;0.011370188;0.010577118;0.011030359;0.010897666;0.011319929;0.011833544;;0.010400278;0.010698897;;;;;76;0.010400278
;;78;0.0098827;0.010758361;0.011561578;0.010267715;0.010014644;0.010397753;0.010586461;0.009812174;0.011225542;0.011751451;0.009807255;0.010218454;0.009965974;0.011207122;0.010618893;0.010544236;0.010359185;0.011170649;0.010888487;0.011985959;;0.010491072;0.010811387;;;;;78;0.010491072
;;80;0.009692478;0.010220417;0.01071049;0.010539297;0.009945206;0.010619092;0.011431204;0.010159014;0.01368446;0.01202948;0.009224562;0.010228762;0.010045897;0.010819344;0.009834997;0.010337092;0.01029585;0.010904362;0.010355874;0.011391511;;0.010522102;0.010724837;;;;;80;0.010522102
